Alabama,418899.84,"27,606"
Alaska,143010.41,"20,119"
Arizona                                                                                                                        ,1385065.32,"113,547"
Arkansas                                                                                                                       ,272371.73,"18,297"
California,3452102.15,"229,027"
Colorado                                                                                                                       ,268864.82,"15,802"
Connecticut                                                                                                                      ,283092.84,"13,843"
Delaware                                                                                                                     ,124391.31,"7,898"
District of Columbia                                                                                                            ,193324.15,"8,261"
Florida                                                                                                                     ,2222700.95,"152,494"
Georgia                                                                                                                     ,424886.21,"26,251"
Hawaii                                                                                                                     ,224393.65,"27,437"
Idaho                                                                                                               ,150923.66,"13,834"
Illinois                                                                                                               ,1212503.94,"68,562"
Indiana                                                                                                               ,367310.17,"25,895"
Iowa                                                                                                              ,153427.28,"10,947"
Kansas                                                                                                             ,283387.92,"19,746"
Kentucky                                                                                                             ,275653.67,"22,144"
Louisiana                                                                                                        ,211948.12,"13,558"
Maine                                                                                                       ,80295.02,"5,260"
Maryland                                                                                                      ,312067.52,"13,134"
Massachusetts,504153.07,"23,825"
Michigan,513536.48,"36,856"
Minnesota,323272.94,"21,481"
Mississippi,228011.12,"14,495"
Missouri                                                                                                                       ,493925.56,"35,255"
Montana                                                                                                                        ,58888.46,"3,690"
Nebraska                                                                                                                       ,141981.87,"48,179"
Nevada                                                                                                                         ,785829.77,"62,336"
New Hampshire                                                                                                                  ,104124.71,"8,529"
New Jersey                                                                                                                    ,129880.80,"6,230"
New Mexico                                                                                                                     ,288654.90,"18,253"
New York                                                                                                                      ,1649275.67,"97,013"
North Carolina                                                                                                                ,526785.14,"40,264"
North Dakota                                                                                                                   ,63243.84,"4,530"
Ohio                                                                                                                           ,1119082.31,"72,537"
Oklahoma                                                                                                                      ,236656.96,"19,147"
Oregon                                                                                                                         ,440964.45,"27,776"
Pennsylvania                                                                                                                   ,1200829.33,"79,089"
Rhode Island                                                                                                                   ,159057.26,"10,749"
South Carolina                                                                                                                 ,342096.61,"27,872"
South Dakota                                                                                                                   ,124004.44,"7,567"
Tennessee                                                                                                                      ,551919.38,"33,858"
Texas                                                                                                                          ,2398608.49,"489,510"
Utah                                                                                                                           ,253655.97,"14,008"
Vermont                                                                                                                        ,34074.99,"2,006"
Virginia                                                                                                                       ,219615.17,11828
Washington                                                                                                                     ,454914.98,"35,844"
West Virginia                                                                                                                  ,231703.21,"12,663"
Wisconsin                                                                                                                     ,475363.30,"25,177"
Wyoming                                                                                                                        ,126564.54,"6,983"
,,
Totals,26641296.38,2151212
,,
Totals,7626452.00,"472,771"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,, 
