State,Medical Expenditures,Unique Patients 
Alabama,"$449,798 ","27,543"
Alaska,"$167,531 ","21,724"
Arizona                                                                                                                        ,"$1,515,211 ","118,758"
Arkansas                                                                                                                       ,"$326,495 ","18,099"
California,"$3,847,202 ","229,782"
Colorado                                                                                                                       ,"$276,045 ","15,881"
Connecticut                                                                                                                      ,"$314,392 ","13,499"
Delaware                                                                                                                     ,"$125,279 ","8,147"
District of Columbia                                                                                                            ,"$246,194 ","7,885"
Florida                                                                                                                     ,"$2,413,448 ","155,362"
Georgia                                                                                                                     ,"$29,779 ","26,876"
Hawaii                                                                                                                     ,"$266,868 ","28,756"
Idaho                                                                                                               ,"$171,356 ","47,051"
Illinois                                                                                                               ,"$1,324,655 ","67,770"
Indiana                                                                                                               ,"$407,979 ","25,559"
Iowa                                                                                                              ,"$179,489 ","11,117"
Kansas                                                                                                             ,"$319,458 ","61,041"
Kentucky                                                                                                             ,"$296,382 ","21,693"
Louisiana                                                                                                        ,"$272,995 ","13,738"
Maine                                                                                                       ,"$95,313 ","5,387"
Maryland                                                                                                      ,"$332,740 ","12,860"
Massachusetts,"$532,960 ","22,952"
Michigan,"$580,314 ","36,659"
Minnesota,"$351,234 ","21,822"
Mississippi,"$262,125 ","14,485"
Missouri                                                                                                                       ,"$553,215 ","35,710"
Montana                                                                                                                        ,"$60,424 ","3,694"
Nebraska                                                                                                                       ,"$164,589 ","48,458"
Nevada                                                                                                                         ,"$887,850 ","65,565"
New Hampshire                                                                                                                  ,"$122,650 ","8,704"
New Jersey                                                                                                                    ,"$142,930 ","5,942"
New Mexico                                                                                                                     ,"$320,928 ","18,432"
New York                                                                                                                      ,"$1,435,273 ","75,108"
North Carolina                                                                                                                ,"$484,252 ","34,248"
North Dakota                                                                                                                   ,"$80,932 ","4,728"
Ohio                                                                                                                           ,"$1,241,286 ","73,133"
Oklahoma                                                                                                                      ,"$281,925 ","19,848"
Oregon                                                                                                                         ,"$485,167 ","27,420"
Pennsylvania                                                                                                                   ,"$1,246,740 ","77,736"
Rhode Island                                                                                                                   ,"$167,911 ","10,498"
South Carolina                                                                                                                 ,"$375,301 ","28,742"
South Dakota                                                                                                                   ,"$136,205 ","8,359"
Tennessee                                                                                                                      ,"$598,626 ","33,548"
Texas                                                                                                                          ,"$2,724,086 ","513,806"
Utah                                                                                                                           ,"$278,609 ","13,750"
Vermont                                                                                                                        ,"$37,982 ","1,968"
Virginia                                                                                                                       ,"$232,197 ","12,041"
Washington                                                                                                                     ,"$556,579 ","36,716"
West Virginia                                                                                                                  ,"$256,430 ","12,585"
Wisconsin                                                                                                                     ,"$514,866 ","24,933"
Wyoming                                                                                                                        ,"$135,903 ","7,089"
,,
Totals,"$28,628,097 ","2,237,207"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,, 
