State_Name,City,County_name,YR_Q,BPTW,OJS,SWO,RMOAAGPTW,IPM,OPM,NPCACW30DFPD,NSCACW30DFPD,NMHACW30DFPD,EFF
Alabama,Birmingham,JEFFERSON,FY15_Q1,62.315,3.657,3.6,3.763,97.257,88.849,99.449,97.105,99.834,94.739
Alabama,Birmingham,JEFFERSON,FY15_Q2,64.212,3.657,3.6,3.763,96.609,89.313,99.183,96.2,99.81,94.664
Alabama,Birmingham,JEFFERSON,FY15_Q3,64.212,3.657,3.6,3.763,97.29,89.194,98.801,94.765,99.758,94.664
Alabama,Birmingham,JEFFERSON,FY15_Q4,62.055,3.639,3.548,3.719,66.833,88.158,98.514,94.223,99.815,94.664
Alabama,Birmingham,JEFFERSON,FY16_Q1,62.055,3.639,3.548,3.719,69.595,88.291,98.657,92.178,99.505,94.166
Alabama,Birmingham,JEFFERSON,FY16_Q2,62.055,3.639,3.548,3.719,76.593,88.419,97.252,87.341,99.041,94.166
Alabama,Birmingham,JEFFERSON,FY16_Q3,62.055,3.639,3.548,3.719,81.389,88.582,96.296,82.739,98.689,94.166
Alabama,Birmingham,JEFFERSON,FY16_Q4,67.885,3.92,3.729,3.81,75.386,88.399,95.501,77.718,98.559,94.166
Alabama,Birmingham,JEFFERSON,FY17_Q1,67.885,3.92,3.729,3.81,81.484,88.486,95.012,77.566,98.502,95.185
Alabama,Birmingham,JEFFERSON,FY17_Q2,67.885,3.92,3.729,3.81,85.787,88.364,95.646,79.471,98.659,95.185
Alabama,Birmingham,JEFFERSON,FY17_Q3,67.885,3.92,3.729,3.81,89.087,88.248,95.936,81.334,98.044,95.185
Alabama,Birmingham,JEFFERSON,FY17_Q4,65.843,3.883,3.661,3.763,90,84.2335,78.813,73.713,88.919,95.185
Alabama,Birmingham,JEFFERSON,FY18_Q1,65.843,3.883,3.661,3.763,90.421,84.075,79.493,73.173,88.504,93.005
Alabama,Birmingham,JEFFERSON,FY18_Q2,65.843,3.883,3.661,3.763,92.495,84.513,77.165,70.38,89.965,93.005
Alabama,Birmingham,JEFFERSON,FY18_Q3,63.988,3.747,3.612,3.757,93.789,84.535,73.313,68.123,91.642,93.005
Alabama,Birmingham,JEFFERSON,FY18_Q4,63.988,3.747,3.612,3.757,94.766,84.0745,71.273,68.189,93.021,93.005
Alabama,Birmingham,JEFFERSON,FY19_Q1,63.988,3.747,3.612,3.757,96.163,84.9905,70.128,69.195,93.248,94.067
Alabama,Birmingham,JEFFERSON,FY19_Q2,63.988,3.747,3.612,3.757,95.654,84.8955,70.309,69.576,92.21,94.067
Alabama,Birmingham,JEFFERSON,FY19_Q3,65.552,3.831,3.681,3.826,95.403,84.9135,71.357,69.236,91.102,94.067
Alabama,Montgomery,MONTGOMERY,FY15_Q1,49.83,3.44,3.088,3.43,93.08,89.64,66.767,89.62,96.68,95.32
Alabama,Montgomery,MONTGOMERY,FY15_Q2,50.7,3.44,3.088,3.43,89.028,89.959,72.586,88.424,95.918,95.241
Alabama,Montgomery,MONTGOMERY,FY15_Q3,50.7,3.44,3.088,3.43,86.25,89.965,78.734,83.487,95.654,95.241
Alabama,Montgomery,MONTGOMERY,FY15_Q4,50.076,3.574,3.123,3.421,80.466,88.004,82.217,84.776,95.422,95.241
Alabama,Montgomery,MONTGOMERY,FY16_Q1,50.076,3.574,3.123,3.421,80.773,87.792,84.39,85.105,94.388,93.467
Alabama,Montgomery,MONTGOMERY,FY16_Q2,50.076,3.574,3.123,3.421,81.256,87.852,86.599,80.424,93.267,93.467
Alabama,Montgomery,MONTGOMERY,FY16_Q3,50.076,3.574,3.123,3.421,82.07,87.786,87.939,74.669,91.249,93.467
Alabama,Montgomery,MONTGOMERY,FY16_Q4,61.438,3.87,3.471,3.678,76.363,87.395,89.644,69.317,90.845,93.467
Alabama,Montgomery,MONTGOMERY,FY17_Q1,61.438,3.87,3.471,3.678,75.975,87.198,87.143,67.875,91.263,95.918
Alabama,Montgomery,MONTGOMERY,FY17_Q2,61.438,3.87,3.471,3.678,76.807,88.003,84.708,69.722,91.437,95.918
Alabama,Montgomery,MONTGOMERY,FY17_Q3,61.438,3.87,3.471,3.678,71.367,87.136,82.338,71.585,92.803,95.918
Alabama,Montgomery,MONTGOMERY,FY17_Q4,54.767,3.701,3.276,3.438,65.764,83.154,58.113,71.649,80.288,95.918
Alabama,Montgomery,MONTGOMERY,FY18_Q1,54.767,3.701,3.276,3.438,62.486,82.6775,57.757,71.419,78.324,95.503
Alabama,Montgomery,MONTGOMERY,FY18_Q2,54.767,3.701,3.276,3.438,57.619,82.3835,59.805,70.331,77.976,95.503
Alabama,Montgomery,MONTGOMERY,FY18_Q3,58.969,3.746,3.406,3.644,58.291,82.309,63.02,69.332,75.41,95.503
Alabama,Montgomery,MONTGOMERY,FY18_Q4,58.969,3.746,3.406,3.644,62.474,81.749,62.864,68.931,74.084,95.503
Alabama,Montgomery,MONTGOMERY,FY19_Q1,58.969,3.746,3.406,3.644,67.658,82.625,60.899,67.062,76.024,94.681
Alabama,Montgomery,MONTGOMERY,FY19_Q2,58.969,3.746,3.406,3.644,75.795,82.4885,51.62,65.475,77.345,94.681
Alabama,Montgomery,MONTGOMERY,FY19_Q3,55.077,3.684,3.307,3.549,82.92,82.666,44.34,65.811,78.238,94.681
Alabama,Tuscaloosa,TUSCALOOSA,FY15_Q1,62.563,3.724,3.551,3.826,,87.654,98.633,99.844,100,91.998
Alabama,Tuscaloosa,TUSCALOOSA,FY15_Q2,64.612,3.724,3.551,3.826,,88.052,99.167,99.871,99.898,94.661
Alabama,Tuscaloosa,TUSCALOOSA,FY15_Q3,64.612,3.724,3.551,3.826,,88.657,99.192,99.898,99.75,94.661
Alabama,Tuscaloosa,TUSCALOOSA,FY15_Q4,67.696,3.825,3.645,3.958,,86.97,99.542,99.915,99.394,94.661
Alabama,Tuscaloosa,TUSCALOOSA,FY16_Q1,67.696,3.825,3.645,3.958,85.27,86.326,99.599,98.053,99.033,88.283
Alabama,Tuscaloosa,TUSCALOOSA,FY16_Q2,67.696,3.825,3.645,3.958,84.749,86.854,99.604,94.235,98.824,88.283
Alabama,Tuscaloosa,TUSCALOOSA,FY16_Q3,67.696,3.825,3.645,3.958,82.518,87.07,98.766,89.222,98.606,88.283
Alabama,Tuscaloosa,TUSCALOOSA,FY16_Q4,68.062,3.861,3.697,3.911,73.358,86.968,97.891,84.764,98.729,88.283
Alabama,Tuscaloosa,TUSCALOOSA,FY17_Q1,68.062,3.861,3.697,3.911,70.226,87.139,97.941,83.618,98.661,96.292
Alabama,Tuscaloosa,TUSCALOOSA,FY17_Q2,68.062,3.861,3.697,3.911,69.664,86.774,97.755,85.75,98.052,96.292
Alabama,Tuscaloosa,TUSCALOOSA,FY17_Q3,68.062,3.861,3.697,3.911,65.287,86.82,97.215,87.941,97.181,96.292
Alabama,Tuscaloosa,TUSCALOOSA,FY17_Q4,68.809,3.902,3.71,3.841,59.534,83.305,89.048,82.87,91.367,96.292
Alabama,Tuscaloosa,TUSCALOOSA,FY18_Q1,68.809,3.902,3.71,3.841,55.937,83.1065,81.885,78.704,91.378,94.726
Alabama,Tuscaloosa,TUSCALOOSA,FY18_Q2,68.809,3.902,3.71,3.841,52.291,82.893,73.08,73.502,92.802,94.726
Alabama,Tuscaloosa,TUSCALOOSA,FY18_Q3,71.225,3.887,3.717,3.978,57.607,83.102,74.721,70.038,92.24,94.726
Alabama,Tuscaloosa,TUSCALOOSA,FY18_Q4,71.225,3.887,3.717,3.978,65.719,81.752,75.566,69.794,92.675,94.726
Alabama,Tuscaloosa,TUSCALOOSA,FY19_Q1,71.225,3.887,3.717,3.978,77.58,83.482,75,70.684,92.797,94.03
Alabama,Tuscaloosa,TUSCALOOSA,FY19_Q2,71.225,3.887,3.717,3.978,89.837,83.858,82.38,71.384,92.129,94.03
Alabama,Tuscaloosa,TUSCALOOSA,FY19_Q3,68.272,3.96,3.764,4.007,95.626,83.8445,82.74,71.571,94.937,94.03
Alaska,Anchorage,ALASKA,FY15_Q1,56.399,3.53,3.346,3.579,,90.017,97.231,99.018,99.637,87.73
Alaska,Anchorage,ALASKA,FY15_Q2,57.629,3.53,3.346,3.579,,90.052,95.427,99.08,99.567,83.728
Alaska,Anchorage,ALASKA,FY15_Q3,57.629,3.53,3.346,3.579,,90.25,95.976,98.955,98.649,83.728
Alaska,Anchorage,ALASKA,FY15_Q4,49.43,3.429,3.188,3.465,,88.227,95.819,98.93,97.938,83.728
Alaska,Anchorage,ALASKA,FY16_Q1,49.43,3.429,3.188,3.465,,87.913,95.806,99.045,96.967,72.183
Alaska,Anchorage,ALASKA,FY16_Q2,49.43,3.429,3.188,3.465,,88.214,96.7,97.906,96.74,72.183
Alaska,Anchorage,ALASKA,FY16_Q3,49.43,3.429,3.188,3.465,,87.907,96.359,96.682,96.85,72.183
Alaska,Anchorage,ALASKA,FY16_Q4,50.426,3.525,3.217,3.396,,87.958,96.31,95.472,97.57,72.183
Alaska,Anchorage,ALASKA,FY17_Q1,50.426,3.525,3.217,3.396,,88.433,97.677,94.227,98.524,84.945
Alaska,Anchorage,ALASKA,FY17_Q2,50.426,3.525,3.217,3.396,,88.514,98.369,93.835,98.289,84.945
Alaska,Anchorage,ALASKA,FY17_Q3,50.426,3.525,3.217,3.396,,88.64,94.893,94.362,98.623,84.945
Alaska,Anchorage,ALASKA,FY17_Q4,63.221,3.787,3.656,3.744,,83.123,85.513,82.787,93.501,84.945
Alaska,Anchorage,ALASKA,FY18_Q1,63.221,3.787,3.656,3.744,,83.401,84.147,83.634,93.348,81.848
Alaska,Anchorage,ALASKA,FY18_Q2,63.221,3.787,3.656,3.744,,83.462,82.387,84.141,92.531,81.848
Alaska,Anchorage,ALASKA,FY18_Q3,70.275,3.92,3.821,3.949,,83.966,85.288,83.676,90.625,81.848
Alaska,Anchorage,ALASKA,FY18_Q4,70.275,3.92,3.821,3.949,,84.9525,87.136,83.499,90.269,81.848
Alaska,Anchorage,ALASKA,FY19_Q1,70.275,3.92,3.821,3.949,,84.84,88.133,83.889,89.005,85.726
Alaska,Anchorage,ALASKA,FY19_Q2,70.275,3.92,3.821,3.949,,85.096,90.753,85.01,88.457,85.726
Alaska,Anchorage,ALASKA,FY19_Q3,75.723,3.982,4.013,4.132,,85.3375,90.124,87.146,90.245,85.726
Arizona,Phoenix,MARICOPA,FY15_Q1,47.919,3.408,3.068,3.366,99.029,87.516,75.09,85.24,98.547,94.719
Arizona,Phoenix,MARICOPA,FY15_Q2,48.921,3.408,3.068,3.366,98.889,87.511,77.164,85.637,98.187,94.141
Arizona,Phoenix,MARICOPA,FY15_Q3,48.921,3.408,3.068,3.366,98.797,86.719,83.175,85.364,98.013,94.141
Arizona,Phoenix,MARICOPA,FY15_Q4,51.065,3.516,3.128,3.431,78.722,85.01,86.087,84.408,98.367,94.141
Arizona,Phoenix,MARICOPA,FY16_Q1,51.065,3.516,3.128,3.431,78.31,85.132,87.977,83.706,98.291,93.49
Arizona,Phoenix,MARICOPA,FY16_Q2,51.065,3.516,3.128,3.431,73.229,85.645,88.158,83.011,98.822,93.49
Arizona,Phoenix,MARICOPA,FY16_Q3,51.065,3.516,3.128,3.431,70.922,85.87,87.245,82.967,99.296,93.49
Arizona,Phoenix,MARICOPA,FY16_Q4,53.101,3.649,3.244,3.45,71.533,86.158,85.064,83.941,98.823,93.49
Arizona,Phoenix,MARICOPA,FY17_Q1,53.101,3.649,3.244,3.45,74.804,86.64,83.028,84.531,98.448,91.848
Arizona,Phoenix,MARICOPA,FY17_Q2,53.101,3.649,3.244,3.45,83.905,87.328,84.385,84.953,98.278,91.848
Arizona,Phoenix,MARICOPA,FY17_Q3,53.101,3.649,3.244,3.45,88.096,88.239,83.637,84.748,98.008,91.848
Arizona,Phoenix,MARICOPA,FY17_Q4,57.716,3.717,3.403,3.556,92.881,83.133,57.613,85.456,94.627,91.848
Arizona,Phoenix,MARICOPA,FY18_Q1,57.716,3.717,3.403,3.556,93.681,83.2765,57.22,84.624,94.097,92.625
Arizona,Phoenix,MARICOPA,FY18_Q2,57.716,3.717,3.403,3.556,90.657,83.507,56.56,82.905,93.15,92.625
Arizona,Phoenix,MARICOPA,FY18_Q3,57.377,3.633,3.364,3.595,89.515,83.6655,61.837,79.602,92.695,92.625
Arizona,Phoenix,MARICOPA,FY18_Q4,57.377,3.633,3.364,3.595,88.631,83.5795,63.243,75.456,91.645,92.625
Arizona,Phoenix,MARICOPA,FY19_Q1,57.377,3.633,3.364,3.595,90.74,84.5875,61.257,71.679,90.44,91.362
Arizona,Phoenix,MARICOPA,FY19_Q2,57.377,3.633,3.364,3.595,94.731,84.7745,63.522,69.766,89.655,91.362
Arizona,Phoenix,MARICOPA,FY19_Q3,59.742,3.72,3.475,3.7,96.435,84.936,64.417,69.086,89.579,91.362
Arizona,Prescott,YAVAPAI,FY15_Q1,47.311,3.391,3.15,3.402,90.972,87.237,81.097,87.721,100,90.647
Arizona,Prescott,YAVAPAI,FY15_Q2,49.756,3.391,3.15,3.402,96.154,87.34,87.29,84.374,100,89.761
Arizona,Prescott,YAVAPAI,FY15_Q3,49.756,3.391,3.15,3.402,100,87.871,92.011,83.731,99.892,89.761
Arizona,Prescott,YAVAPAI,FY15_Q4,58.519,3.646,3.343,3.652,88.879,86.308,93.617,84.507,99.669,89.761
Arizona,Prescott,YAVAPAI,FY16_Q1,58.519,3.646,3.343,3.652,90.93,86.7,95.004,85.075,99.542,83.909
Arizona,Prescott,YAVAPAI,FY16_Q2,58.519,3.646,3.343,3.652,91.653,85.95,94.179,85.835,99.299,83.909
Arizona,Prescott,YAVAPAI,FY16_Q3,58.519,3.646,3.343,3.652,93.537,85.26,94.448,84.386,98.664,83.909
Arizona,Prescott,YAVAPAI,FY16_Q4,68.269,3.971,3.702,3.895,90.547,85.342,94.362,82.258,97.903,83.909
Arizona,Prescott,YAVAPAI,FY17_Q1,68.269,3.971,3.702,3.895,90.379,84.52,93.486,80.838,96.537,91.134
Arizona,Prescott,YAVAPAI,FY17_Q2,68.269,3.971,3.702,3.895,92.562,84.333,92.965,80.685,93.898,91.134
