state_name,city,county_name,hospital_name,medical_expenditures,unique_patients,fy,yr_q,bptw,ojs,swo,rmoaagptw,ipm,opm,npcacw30dfpd,nscacw30dfpd,nmhacw30dfpd,eff
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,87061,5302,2018,FY15_Q1,62.563,3.724,3.551,3.826,,87.654,98.633,99.844,100,91.998
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,502617,26979,2020,FY15_Q1,62.563,3.724,3.551,3.826,,87.654,98.633,99.844,100,91.998
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,449798,27543,2019,FY15_Q1,62.563,3.724,3.551,3.826,,87.654,98.633,99.844,100,91.998
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,87061,5302,2018,FY15_Q2,64.612,3.724,3.551,3.826,,88.052,99.167,99.871,99.898,94.661
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,502617,26979,2020,FY15_Q2,64.612,3.724,3.551,3.826,,88.052,99.167,99.871,99.898,94.661
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,449798,27543,2019,FY15_Q2,64.612,3.724,3.551,3.826,,88.052,99.167,99.871,99.898,94.661
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,87061,5302,2018,FY15_Q3,64.612,3.724,3.551,3.826,,88.657,99.192,99.898,99.75,94.661
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,502617,26979,2020,FY15_Q3,64.612,3.724,3.551,3.826,,88.657,99.192,99.898,99.75,94.661
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,449798,27543,2019,FY15_Q3,64.612,3.724,3.551,3.826,,88.657,99.192,99.898,99.75,94.661
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,87061,5302,2018,FY15_Q4,67.696,3.825,3.645,3.958,,86.97,99.542,99.915,99.394,94.661
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,502617,26979,2020,FY15_Q4,67.696,3.825,3.645,3.958,,86.97,99.542,99.915,99.394,94.661
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,449798,27543,2019,FY15_Q4,67.696,3.825,3.645,3.958,,86.97,99.542,99.915,99.394,94.661
Alabama,Tuscaloosa,TUSCALOOSA,TUSCALOOSA VETERANS AFFAIRS MEDICAL CENTER,87061,5302,2018,FY16_Q1,67.696,3.825,3.645,3.958,85.27,86.326,99.599,98.053,99.033,88.283
